rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
209,HBCV0000749MB3,Tergan,Tergan  Lacivert Hakiki Nubuk Deri Erkek Sneaker - E24I1AY56694-C39,1739.99,1739.99,TERGAN,4.7,3,https://www.hepsiburada.com/tergan-lacivert-hakiki-nubuk-deri-erkek-sneaker-e24i1ay56694-c39-p-HBCV0000749MB3,moda-vitrini
210,HBCV00006L0ECX,Tergan,Tergan  Gri Hakiki Nubuk Deri Erkek Sneaker - E24I1AY56694-A40,1739.99,1739.99,,4.7,3,https://www.hepsiburada.com/tergan-gri-hakiki-nubuk-deri-erkek-sneaker-e24i1ay56694-a40-p-HBCV00006L0ECX,moda-vitrini
211,HBCV0000A7EOOM,Lumberjack,Pol 5fx Beyaz Erkek Sneaker-Beyaz,2499,2499,GÜL.KUNDURA,5,2,https://www.hepsiburada.com/pol-5fx-beyaz-erkek-sneaker-beyaz-p-HBCV0000A7EOOM,moda-vitrini
212,HBCV0000A7EOQ6,Lumberjack,Lumberjack POL 5FX Beyaz Erkek Sneaker,1949,1949,,5,2,https://www.hepsiburada.com/lumberjack-pol-5fx-beyaz-erkek-sneaker-p-HBCV0000A7EOQ6,moda-vitrini
213,HBCV00005TS06B,Letao,Letao Erkek Hafif Rahat Günlük Cırtlı Spor Yürüyüş Sneaker 1811,700,849.91,Letao,4.3,67,https://www.hepsiburada.com/letao-erkek-hafif-rahat-gunluk-cirtli-spor-yuruyus-sneaker-1811-p-HBCV00005TS06B,moda-vitrini
214,HBCV00000D9IOX,U.S. Polo Assn.,U.S. Polo Assn. Kares Wt 1pr Siyah Erkek Sneaker Ayakkabı,975,975,5n spor,4.6,17,https://www.hepsiburada.com/u-s-polo-assn-kares-wt-1pr-siyah-erkek-sneaker-ayakkabi-p-HBCV00000D9IOX,moda-vitrini
215,HBCV00000DPGKO,U.S. Polo Assn.,U.S. Polo Assn. Kares Wt 1pr Lacivert Erkek Sneaker Ayakkabı,2299.9,2299.9,,4.6,17,https://www.hepsiburada.com/u-s-polo-assn-kares-wt-1pr-lacivert-erkek-sneaker-ayakkabi-p-HBCV00000DPGKO,moda-vitrini
216,HBCV0000EYYRAJ,Greyder,Greyder Erkek Siyah Günlük Spor Ayakkabı 6Y1SA18140L,5199.9,5199.9,GREYDER,4.7,3,https://www.hepsiburada.com/greyder-erkek-siyah-gunluk-spor-ayakkabi-6y1sa18140l-p-HBCV0000EYYRAJ,moda-vitrini
217,HBCV0000EO7W0Y,Greyder,Greyder Erkek Vizon Günlük Spor Ayakkabı 6Y1SA18140L,5199.9,5199.9,,4.7,3,https://www.hepsiburada.com/greyder-erkek-vizon-gunluk-spor-ayakkabi-6y1sa18140l-p-HBCV0000EO7W0Y,moda-vitrini
218,HBCV00007DK7IZ,Vicco,Vicco 346.P23Y.168-02 Mask Hava Taban Siyah Çocuk Spor Ayakkabı V5,1898.95,1898.95,Çukurova Spor,4.2,5,https://www.hepsiburada.com/vicco-346-p23y-168-02-mask-hava-taban-siyah-cocuk-spor-ayakkabi-v5-p-HBCV00007DK7IZ,moda-vitrini
219,HBCV0000DKF2HJ,Greyder,Greyder Kadın Beyaz Günlük Spor Ayakkabı 6Y2SA34400,1999.9,1999.9,GREYDER,5,2,https://www.hepsiburada.com/greyder-kadin-beyaz-gunluk-spor-ayakkabi-6y2sa34400-p-HBCV0000DKF2HJ,moda-vitrini
220,HBCV0000DKFJYG,Greyder,Greyder Kadın Gümüş Günlük Spor Ayakkabı 6Y2SA34400,1999.9,1999.9,,5,2,https://www.hepsiburada.com/greyder-kadin-gumus-gunluk-spor-ayakkabi-6y2sa34400-p-HBCV0000DKFJYG,moda-vitrini
221,HBCV0000DKFRL1,Greyder,Greyder Kadın Siyah Günlük Spor Ayakkabı 6Y2SA34400,1999.9,1999.9,,5,2,https://www.hepsiburada.com/greyder-kadin-siyah-gunluk-spor-ayakkabi-6y2sa34400-p-HBCV0000DKFRL1,moda-vitrini
222,HBCV00007D9VJX,Dark Seer,Dark Seer Unisex Beyaz Mavi Sneaker Spor Ayakkabı 2026 - DS.MJ1838,999.9,999.9,Darkseer,3.9,16,https://www.hepsiburada.com/dark-seer-unisex-beyaz-mavi-sneaker-spor-ayakkabi-2026-ds-mj1838-p-HBCV00007D9VJX,moda-vitrini
223,HBCV0000G6S2S0,Dark Seer,Dark Seer Beyaz Siyah Yeşil Unisex Sneaker,999.9,999.9,,3.9,16,https://www.hepsiburada.com/dark-seer-beyaz-siyah-yesil-unisex-sneaker-p-HBCV0000G6S2S0,moda-vitrini
224,HBCV00007D9VJY,Dark Seer,Dark Seer DS.MJ1838 Sneaker 2026 Unisex,999.9,999.9,,3.9,16,https://www.hepsiburada.com/dark-seer-ds-mj1838-sneaker-2026-unisex-p-HBCV00007D9VJY,moda-vitrini
225,HBCV00007D9VQ2,Dark Seer,Dark Seer DS.MJ1838 Sneaker 2026 Unisex,999.9,999.9,,3.9,16,https://www.hepsiburada.com/dark-seer-ds-mj1838-sneaker-2026-unisex-p-HBCV00007D9VQ2,moda-vitrini
226,HBCV0000D6X56L,Dockers by Gerli,Dockers By Gerli Betıs 6fx Siyah Erkek Sneaker,2996.99,2996.99,FLO,5,5,https://www.hepsiburada.com/dockers-by-gerli-betis-6fx-siyah-erkek-sneaker-p-HBCV0000D6X56L,moda-vitrini
227,HBCV0000AI2OWF,U.S. Polo Assn.,U.S. Polo Assn. Kadın Lacivert Spor Ayakkabı 50313799-VR033,5999.95,5999.95,U.S. Polo Assn.,4.7,55,https://www.hepsiburada.com/u-s-polo-assn-kadin-lacivert-spor-ayakkabi-50313799-vr033-p-HBCV0000AI2OWF,moda-vitrini
228,HBCV0000AI2MY4,U.S. Polo Assn.,U.S. Polo Assn. Kadın Beyaz Spor Ayakkabı 50313799-VR013,5999.95,5999.95,,4.7,55,https://www.hepsiburada.com/u-s-polo-assn-kadin-beyaz-spor-ayakkabi-50313799-vr013-p-HBCV0000AI2MY4,moda-vitrini
229,HBCV0000AI08HL,U.S. Polo Assn.,U.S. Polo Assn. Kadın Beyaz Spor Ayakkabı 50313799-VR034,5999.95,5999.95,,4.7,55,https://www.hepsiburada.com/u-s-polo-assn-kadin-beyaz-spor-ayakkabi-50313799-vr034-p-HBCV0000AI08HL,moda-vitrini
230,HBCV0000CDNCXW,Lumberjack,Lumberjack Calvert 6fx Siyah Erkek Sneaker,2196.99,2196.99,FLO,5,6,https://www.hepsiburada.com/lumberjack-calvert-6fx-siyah-erkek-sneaker-p-HBCV0000CDNCXW,moda-vitrini
231,HBCV0000CYCMS9,Lumberjack,Lumberjack Calvert 6fx Beyaz Erkek Sneaker,2396.99,2396.99,,5,6,https://www.hepsiburada.com/lumberjack-calvert-6fx-beyaz-erkek-sneaker-p-HBCV0000CYCMS9,moda-vitrini
232,HBCV00007YZJXW,Ispartalılar,Ispartalılar 4310 Tam Ortopedik Taban Erkek Spor Ayakkabı Yazlık Hafif Eva Taban Günlük Erkek Spor Ayakkabı,1099,1099,AYAKKABİBURADA,4.5,173,https://www.hepsiburada.com/ispartalilar-4310-tam-ortopedik-taban-erkek-spor-ayakkabi-yazlik-hafif-eva-taban-gunluk-erkek-spor-ayakkabi-p-HBCV00007YZJXW,moda-vitrini
233,HBCV00007YZIMG,Ispartalılar,Ispartalılar 4310 Tam Ortopedik Taban Erkek Spor Ayakkabı Yazlık Hafif Eva Taban Günlük Erkek Spor Ayakkabı,1099,1099,,4.5,173,https://www.hepsiburada.com/ispartalilar-4310-tam-ortopedik-taban-erkek-spor-ayakkabi-yazlik-hafif-eva-taban-gunluk-erkek-spor-ayakkabi-p-HBCV00007YZIMG,moda-vitrini
234,HBCV00007YZNFO,Ispartalılar,Ispartalılar 4310 Tam Ortopedik Taban Erkek Spor Ayakkabı Yazlık Hafif Eva Taban Günlük Erkek Spor Ayakkabı,1099,1099,,4.5,173,https://www.hepsiburada.com/ispartalilar-4310-tam-ortopedik-taban-erkek-spor-ayakkabi-yazlik-hafif-eva-taban-gunluk-erkek-spor-ayakkabi-p-HBCV00007YZNFO,moda-vitrini
235,HBCV00008F0H5S,Reebok,Reebok Lumberjack Sword Sıyah Erkek Spor Ayakkabı,1999.99,1999.99,DKSSTORE,5,3,https://www.hepsiburada.com/reebok-lumberjack-sword-siyah-erkek-spor-ayakkabi-pm-HBC00008F0H5R,moda-vitrini
236,HBCV0000DUHYTD,Dockers by Gerli,Dockers By Gerli Harrıson Lacivert Erkek Spor Ayakkabı,2896.99,2896.99,FLO,4.2,13,https://www.hepsiburada.com/dockers-by-gerli-harrison-lacivert-erkek-spor-ayakkabi-p-HBCV0000DUHYTD,moda-vitrini
237,HBCV0000DUHZ3Y,Dockers by Gerli,Dockers By Gerli Harrıson Haki Erkek Spor Ayakkabı,2896.99,2896.99,,4.2,13,https://www.hepsiburada.com/dockers-by-gerli-harrison-haki-erkek-spor-ayakkabi-p-HBCV0000DUHZ3Y,moda-vitrini
238,HBCV00004O8DCI,Lumberjack,Lumberjack Pol Pu Kadın Beyaz Sneaker,2199,2199,Solerind&Store,4.5,81,https://www.hepsiburada.com/lumberjack-pol-pu-kadin-beyaz-sneaker-p-HBCV00004O8DCI,moda-vitrini
239,HBCV0000C8A2HH,Nautica,Nautica Erkek Beyaz Sneaker.1bw,2699.4,2699.4,Occasion,5,9,https://www.hepsiburada.com/nautica-erkek-beyaz-sneaker-1bw-p-HBCV0000C8A2HH,moda-vitrini
240,HBCV0000C8GPDK,Nautica,Nautica Erkek Lacivert Sneaker.4nv,2699.4,2699.4,,5,9,https://www.hepsiburada.com/nautica-erkek-lacivert-sneaker-4nv-p-HBCV0000C8GPDK,moda-vitrini
241,HBCV0000C8GNVZ,Nautica,Nautica Erkek Gri Sneaker.0gv,2699.4,2699.4,,5,9,https://www.hepsiburada.com/nautica-erkek-gri-sneaker-0gv-p-HBCV0000C8GNVZ,moda-vitrini
242,HBCV0000CVCH3M,Nautica,Nautica Erkek Siyah Sneaker.0tb,2249.5,2249.5,Occasion,3.9,10,https://www.hepsiburada.com/nautica-erkek-siyah-sneaker-0tb-p-HBCV0000CVCH3M,moda-vitrini
243,HBCV0000CVCIAI,Nautica,Nautica Erkek Mavi Sneaker.4tm,2699.4,2699.4,,3.9,10,https://www.hepsiburada.com/nautica-erkek-mavi-sneaker-4tm-p-HBCV0000CVCIAI,moda-vitrini
244,HBCV0000CVCLBD,Nautica,Nautica Erkek Gri Sneaker.0gv,2699.4,2699.4,,3.9,10,https://www.hepsiburada.com/nautica-erkek-gri-sneaker-0gv-p-HBCV0000CVCLBD,moda-vitrini
